,rssi_D1_1F_AP01,rssi_D1_1F_AP02,rssi_D1_1F_AP03,rssi_D1_1F_AP04,rssi_D1_1F_AP05,rssi_D1_1F_AP06,rssi_D1_1F_AP07,rssi_D1_1F_AP08,xr,yr,cur_eirp,floor
0,-100.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
1,-100.0,-100.0,-100.0,-93.0,-55.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
2,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
3,-100.0,-100.0,-100.0,-92.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
4,-100.0,-100.0,-100.0,-93.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
5,-100.0,-100.0,-100.0,-93.0,-57.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
6,-100.0,-100.0,-100.0,-92.0,-57.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
7,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
8,-100.0,-100.0,-100.0,-93.0,-55.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
9,-100.0,-100.0,-100.0,-92.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
10,-100.0,-100.0,-100.0,-92.0,-55.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
11,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
12,-100.0,-100.0,-100.0,-92.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
13,-100.0,-100.0,-100.0,-93.0,-57.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
14,-100.0,-100.0,-100.0,-93.0,-57.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
15,-100.0,-100.0,-100.0,-93.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
